subject_class,subject_uri,property,property_uri,object_class,object_uri
SIO_010299,http://semanticscience.org/resource/SIO_010299,closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_010299,http://semanticscience.org/resource/SIO_010299,altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,altLabel,http://www.w3.org/2004/02/skos/core#altLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
SIO_010299,http://semanticscience.org/resource/SIO_010299,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,relatedMatch,http://www.w3.org/2004/02/skos/core#relatedMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_010299,http://semanticscience.org/resource/SIO_010299,relatedMatch,http://www.w3.org/2004/02/skos/core#relatedMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
SIO_010299,http://semanticscience.org/resource/SIO_010299,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Disease,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Disease,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
