subject_class,subject_uri,property,property_uri,object_class,object_uri
Journal,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Journal,title,http://purl.org/dc/terms/title,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://purl.org/spar/fabio/Journal,title,http://purl.org/dc/terms/title,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Journal,hasNationalLibraryOfMedicineJournalId,http://purl.org/spar/fabio/hasNationalLibraryOfMedicineJournalId,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://purl.org/spar/fabio/Journal,hasNationalLibraryOfMedicineJournalId,http://purl.org/spar/fabio/hasNationalLibraryOfMedicineJournalId,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://purl.org/spar/fabio/Journal,eissn,http://prismstandard.org/namespaces/basic/3.0/eissn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Journal,eissn,http://prismstandard.org/namespaces/basic/3.0/eissn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://purl.org/spar/fabio/Journal,issn,http://prismstandard.org/namespaces/basic/3.0/issn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Journal,issn,http://prismstandard.org/namespaces/basic/3.0/issn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Journal,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Journal,http://purl.org/spar/fabio/Journal,exactMatch,http://www.w3.org/2004/02/skos/core#exactMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Journal,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Journal,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Journal,http://purl.org/spar/fabio/Journal,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Journal,http://purl.org/spar/fabio/Journal,hasNLMJournalTitleAbbreviation,http://purl.org/spar/fabio/hasNLMJournalTitleAbbreviation,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Journal,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Journal,hasNLMJournalTitleAbbreviation,http://purl.org/spar/fabio/hasNLMJournalTitleAbbreviation,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
