subject_class,subject_uri,property,property_uri,object_class,object_uri
BAO_0000040,http://www.bioassayontology.org/bao#BAO_0000040,OBI_0000299,http://purl.obolibrary.org/obo/OBI_0000299,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,OBI_0000299,http://purl.obolibrary.org/obo/OBI_0000299,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,source,http://purl.org/dc/terms/source,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
BAO_0000040,http://www.bioassayontology.org/bao#BAO_0000040,source,http://purl.org/dc/terms/source,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
BAO_0000040,http://www.bioassayontology.org/bao#BAO_0000040,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,title,http://purl.org/dc/terms/title,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
BAO_0000040,http://www.bioassayontology.org/bao#BAO_0000040,title,http://purl.org/dc/terms/title,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
BAO_0000040,http://www.bioassayontology.org/bao#BAO_0000040,RO_0000057,http://purl.obolibrary.org/obo/RO_0000057,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
MeasureGroup,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#MeasureGroup,RO_0000057,http://purl.obolibrary.org/obo/RO_0000057,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
