subject_class,subject_uri,property,property_uri,object_class,object_uri
Organization,http://www.w3.org/2006/vcard/ns#Organization,closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
FundingAgency,http://purl.org/cerif/frapo/FundingAgency,closeMatch,http://www.w3.org/2004/02/skos/core#closeMatch,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
FundingAgency,http://purl.org/cerif/frapo/FundingAgency,country-name,http://www.w3.org/2006/vcard/ns#country-name,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,country-name,http://www.w3.org/2006/vcard/ns#country-name,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Organization,http://www.w3.org/2006/vcard/ns#Organization,country-name,http://www.w3.org/2006/vcard/ns#country-name,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
FundingAgency,http://purl.org/cerif/frapo/FundingAgency,fn,http://www.w3.org/2006/vcard/ns#fn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,fn,http://www.w3.org/2006/vcard/ns#fn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Organization,http://www.w3.org/2006/vcard/ns#Organization,fn,http://www.w3.org/2006/vcard/ns#fn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Organization,http://www.w3.org/2006/vcard/ns#Organization,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Organization,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Organization,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
FundingAgency,http://purl.org/cerif/frapo/FundingAgency,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
