subject_class,subject_uri,property,property_uri,object_class,object_uri
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,discussesAsDerivedByTextMining,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#discussesAsDerivedByTextMining,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,date,http://purl.org/dc/terms/date,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,source,http://purl.org/dc/terms/source,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,creator,http://purl.org/dc/terms/creator,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,isbn,http://prismstandard.org/namespaces/basic/3.0/isbn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,hasFundingAgency,http://purl.org/cerif/frapo/hasFundingAgency,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,hasSubjectTerm,http://purl.org/spar/fabio/hasSubjectTerm,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,startingPage,http://prismstandard.org/namespaces/basic/3.0/startingPage,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,contentType,http://prismstandard.org/namespaces/basic/3.0/contentType,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,pageRange,http://prismstandard.org/namespaces/basic/3.0/pageRange,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,issn,http://prismstandard.org/namespaces/basic/3.0/issn,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,issueIdentifier,http://prismstandard.org/namespaces/basic/3.0/issueIdentifier,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,isPartOf,http://purl.org/dc/terms/isPartOf,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,endingPage,http://prismstandard.org/namespaces/basic/3.0/endingPage,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,hasPrimarySubjectTerm,http://purl.org/spar/fabio/hasPrimarySubjectTerm,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,isSupportedBy,http://purl.org/cerif/frapo/isSupportedBy,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,identifier,http://purl.org/dc/terms/identifier,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,title,http://purl.org/dc/terms/title,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,language,http://purl.org/dc/terms/language,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,publicationName,http://prismstandard.org/namespaces/basic/3.0/publicationName,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Reference,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Reference,discusses,http://purl.org/spar/cito/discusses,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
