subject_class,subject_uri,property,property_uri,object_class,object_uri
GraphicalLine,http://vocabularies.wikipathways.org/gpml#GraphicalLine,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Pathway,http://vocabularies.wikipathways.org/wp#Pathway,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Pathway,http://vocabularies.wikipathways.org/wp#Pathway,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
DirectedInteraction,http://vocabularies.wikipathways.org/wp#DirectedInteraction,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Translocation,http://vocabularies.wikipathways.org/wp#Translocation,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Translocation,http://vocabularies.wikipathways.org/wp#Translocation,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Class,http://www.w3.org/2002/07/owl#Class,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Catalysis,http://vocabularies.wikipathways.org/wp#Catalysis,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
ConceptScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
PublicationXref,http://vocabularies.wikipathways.org/gpml#PublicationXref,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Ontology,http://www.w3.org/2002/07/owl#Ontology,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Restriction,http://www.w3.org/2002/07/owl#Restriction,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Interaction,http://vocabularies.wikipathways.org/wp#Interaction,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Interaction,http://vocabularies.wikipathways.org/wp#Interaction,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Stimulation,http://vocabularies.wikipathways.org/wp#Stimulation,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Point,http://vocabularies.wikipathways.org/gpml#Point,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Rna,http://vocabularies.wikipathways.org/wp#Rna,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
Distribution,http://www.w3.org/ns/dcat#Distribution,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Person,http://xmlns.com/foaf/0.1/Person,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
TranscriptionTranslation,http://vocabularies.wikipathways.org/wp#TranscriptionTranslation,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
