subject_class,subject_uri,property,property_uri,object_class,object_uri
owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:inSubset,http://www.geneontology.org/formats/oboInOwl#inSubset,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/formula,http://purl.obolibrary.org/obo/chebi/formula,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedTarget,http://www.w3.org/2002/07/owl#annotatedTarget,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
sio:011120,http://semanticscience.org/resource/SIO_011120,is-attribute-of,http://semanticscience.org/resource/is-attribute-of,owl:Class,http://www.w3.org/2002/07/owl#Class
sio:011120,http://semanticscience.org/resource/SIO_011120,is-attribute-of,http://semanticscience.org/resource/is-attribute-of,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,oboinowl:hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasDbXref,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:someValuesFrom,http://www.w3.org/2002/07/owl#someValuesFrom,owl:Class,http://www.w3.org/2002/07/owl#Class
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/inchi,http://purl.obolibrary.org/obo/chebi/inchi,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
sio:011120,http://semanticscience.org/resource/SIO_011120,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
