subject_class,subject_uri,property,property_uri,object_class,object_uri
owl:Class,http://www.w3.org/2002/07/owl#Class,sio:000008,http://semanticscience.org/resource/SIO_000008,sio:011120,http://semanticscience.org/resource/SIO_011120
owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:label,http://www.w3.org/2000/01/rdf-schema#label,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:hasOBONamespace,http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
sio:011120,http://semanticscience.org/resource/SIO_011120,sio:000011,http://semanticscience.org/resource/SIO_000011,owl:Class,http://www.w3.org/2002/07/owl#Class
sio:011120,http://semanticscience.org/resource/SIO_011120,sio:000011,http://semanticscience.org/resource/SIO_000011,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,owl:onProperty,http://www.w3.org/2002/07/owl#onProperty,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedSource,http://www.w3.org/2002/07/owl#annotatedSource,owl:Class,http://www.w3.org/2002/07/owl#Class
owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:inSubset,http://www.geneontology.org/formats/oboInOwl#inSubset,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
sio:011120,http://semanticscience.org/resource/SIO_011120,sio:000300,http://semanticscience.org/resource/SIO_000300,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Restriction,http://www.w3.org/2002/07/owl#Restriction,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Class,http://www.w3.org/2002/07/owl#Class,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
sio:011120,http://semanticscience.org/resource/SIO_011120,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasDbXref,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,oboinowl:hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasDbXref,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,oboinowl:hasSynonymType,http://www.geneontology.org/formats/oboInOwl#hasSynonymType,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Class,http://www.w3.org/2002/07/owl#Class,oboinowl:id,http://www.geneontology.org/formats/oboInOwl#id,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/formula,http://purl.obolibrary.org/obo/chebi/formula,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
owl:Axiom,http://www.w3.org/2002/07/owl#Axiom,owl:annotatedProperty,http://www.w3.org/2002/07/owl#annotatedProperty,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
owl:Class,http://www.w3.org/2002/07/owl#Class,obo:chebi/monoisotopicmass,http://purl.obolibrary.org/obo/chebi/monoisotopicmass,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
