subject_class,subject_uri,property,property_uri,object_class,object_uri
Service,http://www.w3.org/ns/sparql-service-description#Service,propertyFeature,http://www.w3.org/ns/sparql-service-description#propertyFeature,Feature,http://www.w3.org/ns/sparql-service-description#Feature
Function,http://www.w3.org/ns/sparql-service-description#Function,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Feature,http://www.w3.org/ns/sparql-service-description#Feature,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
GraphCollection,http://www.w3.org/ns/sparql-service-description#GraphCollection,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Graph,http://www.w3.org/ns/sparql-service-description#Graph,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Service,http://www.w3.org/ns/sparql-service-description#Service,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Service,http://www.w3.org/ns/sparql-service-description#Service,endpoint,http://www.w3.org/ns/sparql-service-description#endpoint,Service,http://www.w3.org/ns/sparql-service-description#Service
GraphCollection,http://www.w3.org/ns/sparql-service-description#GraphCollection,namedGraph,http://www.w3.org/ns/sparql-service-description#namedGraph,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,namedGraph,http://www.w3.org/ns/sparql-service-description#namedGraph,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Service,http://www.w3.org/ns/sparql-service-description#Service,feature,http://www.w3.org/ns/sparql-service-description#feature,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Graph,http://www.w3.org/ns/sparql-service-description#Graph,dcterms:issued,http://purl.org/dc/terms/issued,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,dcterms:issued,http://purl.org/dc/terms/issued,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Service,http://www.w3.org/ns/sparql-service-description#Service,defaultDataset,http://www.w3.org/ns/sparql-service-description#defaultDataset,Dataset,http://www.w3.org/ns/sparql-service-description#Dataset
Service,http://www.w3.org/ns/sparql-service-description#Service,supportedLanguage,http://www.w3.org/ns/sparql-service-description#supportedLanguage,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Service,http://www.w3.org/ns/sparql-service-description#Service,availableGraphs,http://www.w3.org/ns/sparql-service-description#availableGraphs,GraphCollection,http://www.w3.org/ns/sparql-service-description#GraphCollection
Dataset,http://www.w3.org/ns/sparql-service-description#Dataset,defaultGraph,http://www.w3.org/ns/sparql-service-description#defaultGraph,Graph,http://www.w3.org/ns/sparql-service-description#Graph
Service,http://www.w3.org/ns/sparql-service-description#Service,resultFormat,http://www.w3.org/ns/sparql-service-description#resultFormat,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
Service,http://www.w3.org/ns/sparql-service-description#Service,extensionFunction,http://www.w3.org/ns/sparql-service-description#extensionFunction,Function,http://www.w3.org/ns/sparql-service-description#Function
Service,http://www.w3.org/ns/sparql-service-description#Service,defaultEntailmentRegime,http://www.w3.org/ns/sparql-service-description#defaultEntailmentRegime,rdfs:Resource,http://www.w3.org/2000/01/rdf-schema#Resource
