class_name,class_uri,total_instances,instances_in_partitions,partition_occurrences,occurrence_coverage_percent,avg_occurrences_per_instance
MS_1002813,http://purl.obolibrary.org/obo/MS_1002813,562269,562269,562269,100.0,1.0
MS_1000580,http://purl.obolibrary.org/obo/MS_1000580,562269,562269,562269,100.0,1.0
MS_1000511,http://purl.obolibrary.org/obo/MS_1000511,562269,562269,562269,100.0,1.0
MS_1000073,http://purl.obolibrary.org/obo/MS_1000073,562269,562269,562269,100.0,1.0
SIO_001180,http://semanticscience.org/resource/SIO_001180,562269,562269,562269,100.0,1.0
SIO_001166,http://semanticscience.org/resource/SIO_001166,562269,562269,562269,100.0,1.0
MS_1000294,http://purl.obolibrary.org/obo/MS_1000294,562269,562269,562269,100.0,1.0
MS_1000744,http://purl.obolibrary.org/obo/MS_1000744,562269,562269,562269,100.0,1.0
MS_1000463,http://purl.obolibrary.org/obo/MS_1000463,562269,562269,562269,100.0,1.0
MS_1000041,http://purl.obolibrary.org/obo/MS_1000041,562269,562269,562269,100.0,1.0
SIO_011125,http://semanticscience.org/resource/SIO_011125,290987,290987,290987,100.0,1.0
CHEMINF_000217,http://semanticscience.org/resource/CHEMINF_000217,290987,290987,290987,100.0,1.0
CHEMINF_000042,http://semanticscience.org/resource/CHEMINF_000042,290987,290987,290987,100.0,1.0
CHEMINF_000113,http://semanticscience.org/resource/CHEMINF_000113,290987,290987,290987,100.0,1.0
CHEMINF_000018,http://semanticscience.org/resource/CHEMINF_000018,290987,290987,290987,100.0,1.0
MS_1000130,http://purl.obolibrary.org/obo/MS_1000130,289429,289429,289429,100.0,1.0
MS_1000129,http://purl.obolibrary.org/obo/MS_1000129,272840,272840,272840,100.0,1.0
SIO_000089,http://semanticscience.org/resource/SIO_000089,1,1,1,100.0,1.0
