subject_class,subject_uri,property,property_uri,object_class,object_uri
mesh.vocab:Term,http://id.nlm.nih.gov/mesh/vocab#Term,mesh.vocab:abbreviation,http://id.nlm.nih.gov/mesh/vocab#abbreviation,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType,mesh.vocab:dateEstablished,http://id.nlm.nih.gov/mesh/vocab#dateEstablished,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:dateEstablished,http://id.nlm.nih.gov/mesh/vocab#dateEstablished,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:CheckTag,http://id.nlm.nih.gov/mesh/vocab#CheckTag,mesh.vocab:dateEstablished,http://id.nlm.nih.gov/mesh/vocab#dateEstablished,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:dateEstablished,http://id.nlm.nih.gov/mesh/vocab#dateEstablished,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,mesh.vocab:dateEstablished,http://id.nlm.nih.gov/mesh/vocab#dateEstablished,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:SCR_Population,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:SCR_Protocol,http://id.nlm.nih.gov/mesh/vocab#SCR_Protocol,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:SCR_Organism,http://id.nlm.nih.gov/mesh/vocab#SCR_Organism,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:CheckTag,http://id.nlm.nih.gov/mesh/vocab#CheckTag,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:Term,http://id.nlm.nih.gov/mesh/vocab#Term,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:identifier,http://id.nlm.nih.gov/mesh/vocab#identifier,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,mesh.vocab:onlineNote,http://id.nlm.nih.gov/mesh/vocab#onlineNote,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:onlineNote,http://id.nlm.nih.gov/mesh/vocab#onlineNote,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:onlineNote,http://id.nlm.nih.gov/mesh/vocab#onlineNote,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:SCR_Chemical,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:SCR_Protocol,http://id.nlm.nih.gov/mesh/vocab#SCR_Protocol,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:SCR_Population,http://id.nlm.nih.gov/mesh/vocab#SCR_Population,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:SCR_Anatomy,http://id.nlm.nih.gov/mesh/vocab#SCR_Anatomy,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:SCR_Disease,http://id.nlm.nih.gov/mesh/vocab#SCR_Disease,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:CheckTag,http://id.nlm.nih.gov/mesh/vocab#CheckTag,mesh.vocab:preferredConcept,http://id.nlm.nih.gov/mesh/vocab#preferredConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
