subject_class,subject_uri,property,property_uri,object_class,object_uri
mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:broaderDescriptor,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor,mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor
mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:broaderDescriptor,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor
mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType,mesh.vocab:broaderDescriptor,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor,mesh.vocab:PublicationType,http://id.nlm.nih.gov/mesh/vocab#PublicationType
mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:broaderDescriptor,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor,mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor
mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:broaderDescriptor,http://id.nlm.nih.gov/mesh/vocab#broaderDescriptor,mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor
mesh.vocab:Qualifier,http://id.nlm.nih.gov/mesh/vocab#Qualifier,mesh.vocab:onlineNote,http://id.nlm.nih.gov/mesh/vocab#onlineNote,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:GeographicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#GeographicalDescriptor,mesh.vocab:onlineNote,http://id.nlm.nih.gov/mesh/vocab#onlineNote,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:TopicalDescriptor,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,mesh.vocab:onlineNote,http://id.nlm.nih.gov/mesh/vocab#onlineNote,rdfs:Literal,http://www.w3.org/2000/01/rdf-schema#Literal
mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept,mesh.vocab:broaderConcept,http://id.nlm.nih.gov/mesh/vocab#broaderConcept,mesh.vocab:Concept,http://id.nlm.nih.gov/mesh/vocab#Concept
mesh.vocab:TreeNumber,http://id.nlm.nih.gov/mesh/vocab#TreeNumber,mesh.vocab:parentTreeNumber,http://id.nlm.nih.gov/mesh/vocab#parentTreeNumber,mesh.vocab:TreeNumber,http://id.nlm.nih.gov/mesh/vocab#TreeNumber
